id,Title,Year,ISBN
1,Carrie,1974,978-0-385-08695-0
2,Salem's Lot,1975,978-0-385-00751-1
3,The Shining,1977,978-0-385-12167-5
4,Rage,1977,978-0-451-07645-8
5,The Stand,1978,978-0-385-12168-2
6,The Long Walk,1979,978-0-451-08754-6
7,The Dead Zone,1979,978-0-670-26077-5
8,Firestarter,1980,978-0-670-31541-3
9,Roadwork,1981,978-0-451-09668-5
10,Cujo,1981,978-0-670-45193-7
11,The Running Man,1982,978-0-451-11508-9
12,The Dark Tower: The Gunslinger,1982,978-0-937986-50-9
13,Christine,1983,978-0-670-22026-7
14,Pet Sematary,1983,978-0-385-18244-7
15,Cycle of the Werewolf,1983,978-0-960-38282-8
16,The Talisman,1984,978-0-670-69199-9
17,The Eyes of the Dragon,1984,978-0-670-81458-9
18,Thinner,1984,978-0-453-00468-8
19,It,1986,978-0-670-81302-5
20,The Dark Tower II: The Drawing of the Three,1987,978-0-937986-90-5
21,Misery,1987,978-0-670-81364-3
22,The Tommyknockers,1987,978-0-399-13314-5
23,The Dark Half,1989,978-0-670-82982-8
24,The Stand Uncut,1990,978-0-385-19957-5
25,The Dark Tower III: The Waste Lands,1991,978-0-937986-17-2
26,Needful Things,1991,978-0-670-83953-7
27,Gerald's Game,1992,978-0-670-84650-4
28,Dolores Claiborne,1992,978-0-670-84452-4
29,Insomnia,1994,978-0-670-85503-2
30,Rose Madder,1995,978-0-670-85869-9
31,The Green Mile,1996,978-0-451-19049-9978-0-451-19052-9978-0-451-19054-3978-0-451-19055-0978-0-451-19056-7978-0-451-19057-4
32,Desperation,1996,978-0-670-86836-0
33,The Regulators,1996,978-0-525-94190-3
34,The Dark Tower IV: Wizard and Glass,1997,978-1-880418-38-3
35,Bag of Bones,1998,978-0-684-85350-5
36,The Girl Who Loved Tom Gordon,1999,978-0-684-86762-5
37,Dreamcatcher,2001,978-0-743-21138-3
38,Black House,2001,978-0-375-50439-6
39,From a Buick 8,2002,978-0-743-21137-6
40,The Dark Tower V: Wolves of the Calla,2003,978-1-880-41856-7
41,The Dark Tower VI: Song of Susannah,2004,978-1-880-41859-8
42,The Dark Tower VII: The Dark Tower,2004,Grant
43,The Colorado Kid,2005,978-0-843-95584-2
44,Cell,2006,978-0-743-29233-7
45,Lisey's Story,2006,978-0-743-28941-2
46,Blaze,2007,978-1-416-55484-4
47,Duma Key,2008,978-1-416-55251-2
48,Under the Dome,2009,978-1-439-14850-1
49,11/22/63,2011,978-1-451-62728-2
50,The Dark Tower: The Wind Through the Keyhole,2012,978-1-880-41876-5
51,Joyland,2013,978-1-781-16264-4
52,Doctor Sleep,2013,978-1-476-72765-3
53,Mr. Mercedes,2014,978-1-476-75445-1
54,Revival,2014,978-1-476-77038-3
55,Finders Keepers,2015,978-1-501-10007-9
56,End of Watch,2016,978-1-501-12974-2
57,Gwendy's Button Box,2017,978-1-58767-610-9
58,Sleeping Beauties,2017,978-1-50116-340-1
59,The Outsider,2018,978-1-50118-098-9
60,Elevation,2018,978-1-98210-231-9
61,The Institute,2019,978-1-98211-056-7
62,Later,2021,978-1-78909-649-1
63,Billy Summers,2021,978-1-982-17361-6
